"","pol_knowledge","likelihood_vote","know1","know2","know3","know4","know5","know6","know7","know8","know9","know10","general_internet","election_internet","internet_skills","int_attch","int_post","int_blog","int_down","election_newspaper","election_tv","election_radio","female","highest_qual","tertiary_ed","country_birth","aust_born","age","income","rural_urban","interest_pol","age_cat","age_18_24","weight","know1_correct","know2_correct","know3_correct","know4_correct","know5_correct","know6_correct","know7_correct","know8_correct","know9_correct","know10_correct","income_quintiles"
"1",3,5,1,3,1,1,1,3,5,5,5,3,1,5,4,1,1,1,1,4,3,3,1,3,1,1,1,43,22,5,3,3,0,1.40422425242532,1,0,0,1,0,0,0,0,0,1,5
"2",9,5,1,1,2,2,2,2,3,2,3,3,1,3,3,1,1,NA,1,1,1,1,0,2,1,12,0,61,22,5,1,5,0,0.851715011726785,1,1,1,0,1,1,1,1,1,1,5
"3",8,5,1,1,2,3,2,2,3,2,3,5,1,3,3,1,1,NA,1,1,2,2,0,5,0,1,1,52,20,5,1,4,0,0.911903409714549,1,1,1,0,1,1,1,1,1,0,5
"4",4,5,1,NA,1,2,1,1,3,2,3,2,2,3,1,1,NA,NA,NA,1,1,1,1,1,0,1,1,69,12,5,1,6,0,0.77475821048464,1,NA,0,0,0,0,1,1,1,0,3
"5",4,4,1,1,1,3,1,3,3,2,NA,1,3,3,0,NA,NA,NA,NA,2,1,3,1,4,0,1,1,61,2,5,1,5,0,0.982439220788559,1,1,0,0,0,0,1,1,NA,0,1
"6",6,5,1,1,2,3,1,2,5,2,3,5,1,5,4,1,1,1,1,2,2,1,1,1,0,1,1,20,14,5,1,1,1,1.91487075184003,1,1,1,0,0,1,0,1,1,0,4
"7",3,5,3,1,1,3,3,3,5,1,3,3,1,5,2,1,NA,NA,1,3,2,2,1,3,1,12,0,50,19,5,2,4,0,1.01078853174099,0,1,0,0,0,0,0,0,1,1,5
"8",4,5,1,1,1,2,1,1,5,2,4,3,1,5,3,1,1,NA,1,1,1,4,1,2,1,1,1,28,13,5,1,2,0,6.46615621820264,1,1,0,0,0,0,0,1,0,1,4
"9",9,5,1,1,2,1,2,2,3,2,1,3,1,3,3,1,1,NA,1,1,3,4,1,3,1,1,1,62,13,5,1,5,0,0.79784558088334,1,1,1,1,1,1,1,1,0,1,4
"10",2,5,NA,NA,NA,3,1,1,3,5,3,2,7,3,0,NA,NA,NA,NA,3,NA,NA,1,6,0,1,1,72,7,5,2,6,0,0.77475821048464,NA,NA,NA,0,0,0,1,0,1,0,2
"11",7,5,1,1,1,3,1,2,3,2,3,3,5,3,0,NA,NA,NA,NA,3,1,1,1,2,1,1,1,79,16,5,1,6,0,0.77475821048464,1,1,0,0,0,1,1,1,1,1,4
"12",7,4,1,2,2,3,2,2,3,2,5,3,1,3,3,1,1,NA,1,3,2,3,1,3,1,1,1,28,14,5,2,2,0,1.7859839979236,1,0,1,0,1,1,1,1,0,1,4
"13",1,2,1,3,1,3,3,3,5,1,5,5,1,5,2,1,1,NA,NA,2,3,2,0,7,0,1,1,40,11,5,3,3,0,1.48088725213568,1,0,0,0,0,0,0,0,0,0,3
"14",9,5,1,1,1,1,2,2,3,2,3,3,1,3,3,1,1,NA,1,1,1,1,0,2,1,1,1,64,22,5,1,5,0,0.851715011726785,1,1,0,1,1,1,1,1,1,1,5
"15",9,5,1,1,2,2,2,2,3,2,3,3,1,3,1,1,NA,NA,NA,1,1,1,0,2,1,12,0,70,19,5,1,6,0,0.827068813990002,1,1,1,0,1,1,1,1,1,1,5
"16",5,5,3,1,2,2,1,3,3,1,3,3,5,3,2,1,NA,NA,1,3,3,3,0,1,0,6,0,64,15,5,3,5,0,0.719792600317747,0,1,1,0,0,0,1,0,1,1,4
"17",0,5,3,3,3,3,3,3,5,5,5,5,1,5,4,1,1,1,1,4,2,3,0,5,0,1,1,20,18,5,2,1,1,1.99496397669468,0,0,0,0,0,0,0,0,0,0,5
"18",9,5,1,1,2,2,2,2,3,2,3,3,3,3,1,1,NA,NA,NA,4,1,4,0,1,0,1,1,51,5,1,1,4,0,0.970048141603624,1,1,1,0,1,1,1,1,1,1,2
"19",7,5,1,1,2,2,2,2,5,1,3,3,1,5,3,1,1,NA,1,2,1,1,0,6,0,1,1,55,21,5,1,5,0,0.851715011726785,1,1,1,0,1,1,0,0,1,1,5
"20",9,5,1,1,2,1,2,2,3,2,3,1,2,3,1,1,NA,NA,NA,2,1,1,1,2,1,1,1,59,22,5,1,5,0,0.79784558088334,1,1,1,1,1,1,1,1,1,0,5
"21",8,5,1,1,2,2,2,2,3,2,3,1,1,3,4,1,1,1,1,2,2,4,1,2,1,1,1,46,22,5,2,4,0,1.0231757504036,1,1,1,0,1,1,1,1,1,0,5
"22",7,5,1,1,3,2,1,2,3,2,3,3,1,3,4,1,1,1,1,2,1,1,0,2,1,1,1,43,22,5,1,3,0,1.48088725213568,1,1,0,0,0,1,1,1,1,1,5
"23",9,5,1,1,2,1,1,2,3,2,3,3,1,3,1,1,NA,NA,NA,1,1,4,1,3,1,1,1,66,22,5,1,6,0,0.784252876344567,1,1,1,1,0,1,1,1,1,1,5
