Gender,Age,Political Orientation,Social Class
Male,66,Right,Middle class
Female,72,Right,Upper middle class
Female,59,Left,Middle class
Female,20,Left,Lower middle class
Female,68,Right,Upper middle class
Male,76,Right,Middle class
Male,61,Left,Upper middle class
Male,90,Right,Middle class
Female,64,Left,Lower middle class
Female,39,Left,Upper middle class
Male,57,Right,Middle class
Male,47,Left,Lower class
Female,56,Left,Middle class
Female,51,Left,Middle class
Male,34,Left,Working class
Male,18,Center,Middle class
Female,18,Left,Working class
Female,30,Left,Upper middle class
Female,65,Right,Middle class
Male,35,Right,Middle class
Female,44,Right,Upper class
Female,40,Right,Middle class
Male,57,Left,Upper middle class
Male,40,Left,Lower middle class
Female,59,Left,Middle class
Female,82,Right,Middle class
Female,44,Far right,Working class
Female,30,Left,Middle class
Male,77,Left,Working class
Female,60,Right,Lower middle class
